"BN/Registration number","Fiscal period end","Form ID","100","110","111","112","120","130"
"101835866RR0001",2024-3-31 00:00:00,"27",,,,,,
"101836054RR0001",2024-8-31 00:00:00,"27","N","N",,,,
"101836252RR0001",2024-3-31 00:00:00,"27",,,,,,
"101836260RR0001",2024-3-31 00:00:00,"27",,,,,,
"101836302RR0001",2024-12-31 00:00:00,"27",,,,,,
"101836369RR0001",2024-3-31 00:00:00,"27",,,,,,
"101836377RR0001",2024-12-31 00:00:00,"27","N","N",,,"N","N"
"101836526RR0001",2024-3-31 00:00:00,"27","N","N",,,,
"101836542RR0001",2024-3-31 00:00:00,"27",,,,,,
"101836583RR0001",2024-6-30 00:00:00,"27","N","N",$1744773.00,,,
"101836633RR0001",2024-3-31 00:00:00,"27","N","N",$277345.00,,"N","N"
"101836823RR0001",2024-3-31 00:00:00,"27",,,,,,
"101837078RR0001",2024-12-31 00:00:00,"27",,,,,,
"101837276RR0001",2024-6-30 00:00:00,"27",,,,,,
"101837318RR0001",2024-4-30 00:00:00,"27","N","N",,,,
"101837342RR0001",2024-6-30 00:00:00,"27","N","N",,,"N","N"
"101837862RR0001",2024-3-31 00:00:00,"27",,,,,,
"101837896RR0001",2024-3-31 00:00:00,"27",,,,,,
"101838126RR0001",2024-8-31 00:00:00,"27","N","N",$0.00,$0.00,"N","N"
"101851202RR0001",2024-8-31 00:00:00,"27",,,,,,
"101885226RR0001",2024-12-31 00:00:00,"27",,,,,,
"101894277RR0001",2024-6-30 00:00:00,"27","N","N",$0.00,$0.00,"N","N"
"101894319RR0001",2024-12-31 00:00:00,"27",,,,,,
"101894426RR0001",2024-10-31 00:00:00,"27",,,,,,
"101943157RR0001",2024-7-31 00:00:00,"27",,,,,,
"101944197RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944213RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944296RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944536RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944577RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944643RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944684RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944817RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944841RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944866RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944882RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944916RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944981RR0001",2024-3-31 00:00:00,"27",,,,,,
"101944999RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945020RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945079RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945285RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945293RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945384RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945418RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945467RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945491RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945541RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945558RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945566RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945616RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945632RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945715RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945731RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945756RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945764RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945822RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945830RR0001",2024-3-31 00:00:00,"27",,,,,,
"101945962RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946135RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946200RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946309RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946333RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946341RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946374RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946440RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946523RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946531RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946564RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946689RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946747RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946762RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946770RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946788RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946846RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946853RR0001",2024-3-31 00:00:00,"27",,,,,,
"101946861RR0001",2024-3-31 00:00:00,"27",,,,,,
"101948032RR0001",2024-3-31 00:00:00,"27",,,,,,
"101949527RR0001",2024-12-31 00:00:00,"27",,,,,,
"101960235RR0001",2024-3-31 00:00:00,"27",,,,,,
"102091493RR0001",2024-6-30 00:00:00,"27",,,,,,
"102097268RR0001",2024-6-30 00:00:00,"27",,,,,,
"102097565RR0001",2024-6-30 00:00:00,"27",,,,,,
"102145224RR0001",2024-3-31 00:00:00,"27",,,,,,
"102150349RR0001",2024-12-31 00:00:00,"27",,,,,,
"102156916RR0001",2024-1-31 00:00:00,"27",,,,,,
"102163045RR0001",2024-3-31 00:00:00,"27",,,,,,
"102164225RR0001",2024-3-31 00:00:00,"27",,,,,,
"102177979RR0001",2024-9-30 00:00:00,"27",,,,,,
"102183829RR0001",2024-6-30 00:00:00,"27",,,,,,
"102208881RR0001",2024-3-31 00:00:00,"27",,,,,,
"102239613RR0001",2024-12-31 00:00:00,"27",,,,,,
"102253663RR0001",2024-3-31 00:00:00,"27",,,,,,
"102253788RR0001",2024-12-31 00:00:00,"27",,,,,,
"102278876RR0001",2024-12-31 00:00:00,"27",,,,,,
"102288495RR0001",2024-9-30 00:00:00,"27",,,,,,
"102299047RR0001",2024-3-31 00:00:00,"27",,,,,,
"102313616RR0001",2024-3-31 00:00:00,"27",,,,,,
"102334554RR0001",2024-3-31 00:00:00,"27",,,,,,
"102385325RR0001",2024-3-31 00:00:00,"27",,,,,,
"102385515RR0001",2024-12-31 00:00:00,"27",,,,,,
"102388873RR0001",2024-3-31 00:00:00,"27",,,,,,
"102402393RR0001",2024-3-31 00:00:00,"27",,,,,,
"102407319RR0001",2024-12-31 00:00:00,"27",,,,,,
"102415338RR0001",2024-12-31 00:00:00,"27",,,,,,
"102430378RR0001",2024-3-31 00:00:00,"27",,,,,,
"102450376RR0001",2024-12-31 00:00:00,"27","N","N",,,,
"102473667RR0001",2024-6-30 00:00:00,"27",,,,,,
"102484680RR0001",2024-3-31 00:00:00,"27",,,,,,
"102489283RR0001",2024-9-30 00:00:00,"27",,,,,,
"102497542RR0001",2024-12-31 00:00:00,"27",,,,,,
"102497641RR0002",2024-12-31 00:00:00,"27",,,,,,
"102498250RR0001",2024-6-30 00:00:00,"27",,,,,,
"102510385RR0001",2024-12-31 00:00:00,"27",,,,,,
"102526415RR0001",2024-12-31 00:00:00,"27",,,,,,
"102540473RR0001",2024-6-30 00:00:00,"27","N","N",,,,
"102541786RR0001",2024-12-31 00:00:00,"27",,,,,,
"102572245RR0001",2024-12-31 00:00:00,"27",,,,,,
"102634235RR0001",2024-3-31 00:00:00,"27",,,,,,
"102636552RR0002",2024-3-31 00:00:00,"27",,,,,,
"102636610RR0001",2024-3-31 00:00:00,"27",,,,,,
"102636636RR0001",2024-4-30 00:00:00,"27",,,,,,
"102693330RR0001",2024-1-31 00:00:00,"27","N","N",,,"N","N"
"102708260RR0001",2024-3-31 00:00:00,"27",,,,,,
"102714151RR0001",2024-3-31 00:00:00,"27","N","N",$10589278.00,$4989726.00,"N","N"
"102728177RR0001",2024-12-31 00:00:00,"27","N","N",,,"N","N"
"102746666RR0001",2024-3-31 00:00:00,"27",,,,,,
"102807245RR0001",2024-3-31 00:00:00,"27",,,,,,
"102830320RR0001",2024-3-31 00:00:00,"27",,,,,,
"102842945RR0001",2024-8-31 00:00:00,"27",,,,,,
"102843786RR0001",2024-4-30 00:00:00,"27",,,,,,
"102843943RR0001",2024-12-31 00:00:00,"27",,,,,,
"102876059RR0001",2024-3-31 00:00:00,"27",,,,,,
"102897881RR0001",2024-12-31 00:00:00,"27",,,,,,
"102901220RR0001",2024-3-31 00:00:00,"27",,,,,,
