"BN/Registration number","Fiscal period end","Form ID","300","305","310","315","320","325","330","335","340","345","370","380","390"
"100823830RR0001",2024-12-31 00:00:00,"27",21,1,7,2,,,,,,,34,$333567.00,$1427516.00
"100825116RR0001",2024-3-31 00:00:00,"27",8,1,7,,,,,,,,5,,$504452.00
"100825322RR0001",2024-3-31 00:00:00,"27",2,4,1,,,,,,,,5,$60516.00,$154736.00
"100825439RR0001",2024-12-31 00:00:00,"27",8,3,5,,,,,,,,3,$11216.00,$436928.00
"100831122RR0001",2024-6-30 00:00:00,"27",10,6,4,,,,,,,,7,$96174.00,$587786.00
"100872894RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,10,$77918.00,$77918.00
"100875244RR0001",2024-3-31 00:00:00,"27",1,2,1,,,,,,,,,,$190691.00
"100876143RR0001",2024-5-31 00:00:00,"27",,4,,,,,,,,,4,$42308.00,$42308.00
"100876143RR0001",2024-12-31 00:00:00,"27",2,2,,,,,,,,,,,$20901.00
"100876499RR0001",2024-3-31 00:00:00,"27",17,9,1,,,,,,,,18,$102205.00,$951722.00
"100876531RR0001",2024-12-31 00:00:00,"27",8,10,7,4,,,,,,,50,,$2972351.00
"100876630RR0001",2024-3-31 00:00:00,"27",6,5,1,,,,,,,,13,$195524.00,$512900.00
"100876689RR0001",2024-3-31 00:00:00,"27",10,,,,,,,,,,,,$669258.00
"100876887RR0001",2024-4-30 00:00:00,"27",3,2,1,,,,,,,,8,$87158.00,$226687.00
"100876903RR0001",2024-12-31 00:00:00,"27",19,1,9,,,,,,,,52,$346172.00,$1053071.00
"100877505RR0001",2024-3-31 00:00:00,"27",13,8,2,,,,,,,,5,$11640.00,$459242.00
"100877513RR0001",2024-3-31 00:00:00,"27",5,,4,1,,,,,,,8,$195188.00,$436902.00
"100877539RR0001",2024-3-31 00:00:00,"27",9,5,4,,,,,,,,8,$71804.00,$403911.00
"100877547RR0001",2024-3-31 00:00:00,"27",11,2,7,1,,,,,,,,,$594555.00
"100877570RR0001",2024-3-31 00:00:00,"27",4,2,2,,,,,,,,1,$25021.00,$265954.00
"100877596RR0001",2024-3-31 00:00:00,"27",9,,8,1,,,,,,,,,$368118.00
"100877810RR0001",2024-3-31 00:00:00,"27",8,1,7,,,,,,,,6,,$538977.00
"100878032RR0001",2024-6-30 00:00:00,"27",4,2,2,,,,,,,,4,$5404.00,$185230.00
"100878123RR0001",2024-6-30 00:00:00,"27",24,,9,1,,,,,,,16,$362050.00,$2000651.00
"100878743RR0001",2024-3-31 00:00:00,"27",6,2,3,1,,,,,,,,,$335287.00
"100878776RR0001",2024-3-31 00:00:00,"27",25,,9,1,,,,,,,8,$80825.00,$1420507.00
"100878784RR0001",2024-3-31 00:00:00,"27",8,8,2,,,,,,,,4,$33820.00,$459858.00
"100878792RR0001",2024-3-31 00:00:00,"27",4,1,3,,,,,,,,,,$253254.00
